customerID,Gender,SeniorCitizen,Partner,Dependents,TenureMonths,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Count,Country,State,City,ZipCode,LatLong,Latitude,Longitude,ChurnLabel,ChurnValue,ChurnScore,CLTV,ChurnReason,StatusID,Quarter,SatisfactionScore,CustomerStatus,ChurnCategory,NPS_Label,TenureGroup,LastInteractionNote
0002-ORFBO,Female,0,Yes,Yes,9,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,65.6,593.3,No,1,United States,California,Frazier Park,93225,"34.827662, -118.999073",34.827662,-118.999073,No,0,65,2205,,UAAWUJ8685,Q3,3,Stayed,,Detractor,0-12 months,I've spent more time on the phone with support in the past two months than I did in two years with my last company. This is ridiculous.
0003-MKNFE,Male,0,No,No,9,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,59.9,542.4,No,1,United States,California,Glendale,91206,"34.162515, -118.203869",34.162515,-118.203869,No,0,66,5414,,URNYXG9268,Q3,5,Stayed,,Promoter,0-12 months,I'm so thrilled with this service! It's made things incredibly easy since I signed up a few months ago.
0004-TLHLJ,Male,0,No,No,4,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,73.9,280.85,Yes,1,United States,California,Costa Mesa,92627,"33.645672, -117.922613",33.645672,-117.922613,Yes,1,71,4479,Price too high,LOOUCZ6174,Q3,1,Churned,Competitor,Detractor,0-12 months,"Your support agents are usually very helpful, but the core service itself is just constantly failing on me. I've only been here six months and it's been problem after problem."
0011-IGKFF,Male,1,Yes,No,13,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.0,1237.85,Yes,1,United States,California,Martinez,94553,"38.014457, -122.115432",38.014457,-122.115432,Yes,1,99,3714,Product dissatisfaction,HDYLOW1467,Q3,1,Churned,Dissatisfaction,Detractor,13-24 months,"I regret renewing my contract last year. The service quality has plummeted, and I feel completely trapped now with a non-functional product."
0013-EXCHZ,Female,1,Yes,No,3,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,83.9,267.4,Yes,1,United States,California,Camarillo,93010,"34.227846, -119.079903",34.227846,-119.079903,Yes,1,68,3464,Network reliability,EICWUI5128,Q3,1,Churned,Dissatisfaction,Detractor,0-12 months,I've had nothing but problems since activating this service a couple of weeks ago. It's been a nightmare trying to get anything done.
0013-MHZWF,Female,0,No,Yes,9,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),69.4,571.45,No,1,United States,California,Midpines,95345,"37.581496, -119.972762",37.581496,-119.972762,No,0,55,5108,,SLPFEF6753,Q3,3,Stayed,,Detractor,0-12 months,This product is a complete scam; it barely functions. I feel totally ripped off after just three months.
0013-SMEOE,Female,1,Yes,No,71,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),109.7,7904.25,No,1,United States,California,Lompoc,93437,"34.757477, -120.550507",34.757477,-120.550507,No,0,26,5011,,EJDHDK5564,Q3,3,Stayed,,Detractor,49-72 months,"I've been a customer for years, and it feels like new customers get all the good deals while loyal ones like me are completely ignored. It's really frustrating."
0014-BMAQU,Male,0,Yes,No,63,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),84.65,5377.8,No,1,United States,California,Napa,94558,"38.489789, -122.27011",38.489789,-122.27011,No,0,49,4604,,PKLDMJ4593,Q3,4,Stayed,,Passive,49-72 months,"I generally find the website easy to use, though I'm having difficulty locating the option to modify my auto-pay settings after the recent redesign."
0015-UOCOJ,Female,1,No,No,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,48.2,340.35,No,1,United States,California,Simi Valley,93063,"34.296813, -118.685703",34.296813,-118.685703,No,0,34,5525,,XONJKB7297,Q3,3,Stayed,,Detractor,0-12 months,The internet speed is nowhere near what I was told it would be. I'm paying for premium service and getting dial-up speeds.
0016-QLJIS,Female,0,Yes,Yes,65,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,90.45,5957.9,No,1,United States,California,Sheridan,95681,"38.984756, -121.345074",38.984756,-121.345074,No,0,25,5509,,GZRKYX5821,Q3,3,Stayed,,Detractor,49-72 months,I've been on hold for over 40 minutes just to discuss this simple billing error. This is absolutely unacceptable customer service for someone who's been with you for years.
0017-DINOC,Male,0,No,No,54,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),45.2,2460.55,No,1,United States,California,Rancho Santa Fe,92091,"32.99356, -117.207121",32.99356,-117.207121,No,0,54,5435,,QTUNJU1418,Q3,4,Stayed,,Passive,49-72 months,I'm getting an error code when I try to access live chat support. Can you help me connect?
0017-IUDMW,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),116.8,8456.75,No,1,United States,California,Sunnyvale,94086,"37.378541, -122.020456",37.378541,-122.020456,No,0,52,6252,,WVKQQF7472,Q3,3,Stayed,,Detractor,49-72 months,"My bill jumped again this month for no reason, and I've been with you for over five years! This is ridiculous; I'm tired of these sneaky charges."
0018-NYROU,Female,0,Yes,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,68.95,351.5,No,1,United States,California,Antelope,95843,"38.715498, -121.363411",38.715498,-121.363411,No,0,57,5536,,KONWNJ2235,Q3,3,Stayed,,Detractor,0-12 months,I just signed up last month and it's already completely unreliable. This is absolutely not what I was promised when I joined.
0019-EFAEP,Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),101.3,7261.25,No,1,United States,California,La Mesa,91942,"32.782501, -117.01611",32.782501,-117.01611,No,0,53,5513,,XDOEFP3192,Q3,3,Stayed,,Detractor,49-72 months,"The service used to be so reliable, but for the past few months, it's been constant outages and slow speeds. I'm paying too much for this level of quality."
